receiverAddress,Username,Degen
0x65c4abeacf97978349612022c56498502f997f69,msmeghna,88.50
0xcddf6531cd48936fc850e51b95a3d3d966beb43d,awkquarian.eth,58.33
0x720d3a3aa7c6bec98be27a64b9f4f42eb79badc4,ismene,417.90
0x657c1f8421ae93e88fb3171f019779e87b0263ca,juujuumama,81.68
0x8d25687829d6b85d9e0020b8c89e3ca24de20a89,stephancill,446.62
0xa218e658f1f863147caa781610170f6b5f48de21,marcelonada,424.97
0x95b2720881bbb0ff3fe707ebdea9835f7d36c737,layaart13,4381.46
0x9d7a233843932a618d243ff9d166d3b8630cbc24,annahannka,165.17
0x8f88644b17433f82cdf2b2e49518038ea694d104,morbeck-art,114.96
0xaa3ab1f210cdbf5364b99ed696b12c1f49b70d4f,phos3,522.35
0x97754af3b89705b8701d4084e1ebcdbc29ffeeef,ksuanosova,395.81
0xe3497b16ee2efd1d954ed88ca4f3c4c97fcf71bd,amalmariei,58.33
0xbe7bfad8952ae92abb8779aa4d6826839e82fa3d,0xhellia,655.08
0x50bdd745f633506f8761ca913c5238c3aedc6dff,danicaswanson,120.22
0xab6de767c2887c328bad7acfad63be38c341ee2c,somayehhypernft,625.47
0x0a3f5e02f013e907af44ba1b08352cedd61911ac,calvindumb,98.95
0xd4bf6958538f26266ef2a32db47d296323734b5a,mvr,1611.40
0x931b5ad8d05dc53d543ac4e5827dc1127d53a740,macbeth,169.78
0xca4a7dcfa46b07cf4eba08860e3cd732736a229b,negar-sepehr,127.69
0xd04fff37bfefd4b2439322620262a25cc17d0b91,meeshuno,17.26
0x096d9cb742b2f8da6e6a3f428c27e503a71ca58a,lorenipsum,71.09
0xa331a4730d61633962ffca152984556505acdc20,risoflora,51.47
0xfc783bfdc155457682cfb9131441761b7db9e9b7,tamasantal,16.75
0x91942026918fd219c6b62f739c4dab80dd6673b6,plantsnft,104.06
0xf3c0f24eca4b1c02117711c7945ce1fbb19c0940,trebor69,421.88
0x2c68a1ffc15ffadd5c79ad2ce3b7f976a7127ce3,ranjithamnft,50.27
0xde1da096a49e503906bd83ab8d10b2c5026df1fa,nasty-stz,221.46
0xe697b1bcf17a0edc2df872de1c7258c7cc434745,push-,16.75
0x1a9f1676fd9f2b7ef24315cfb04b5d7f016cd38f,thegameworld,120.25
0x1847a58d11903ecd73ee8bf71ad801d7ed82ca97,rosstintexas,497.10
0x675da94d0efe96cfec1cc6bd6fa11702ebe14249,nofaithvisuals,113.19
0xa9557a3a69e838744acd2100574ebc76fbe6be73,studi08f0rev3r,15.28
0x495e4f8c59f9b2df760f77c42f27ea514697bf73,katwolfie.eth,58.33
0x33882dfea013d9e1b94173b60e5b1d88876181d0,uriana,140.65
0x9ecec54d4f75b486df98b9f1978a36d2bd622df1,omidhassani,115.17
0x6946a58f50437d0a586dd5a682416a1d6fdfa703,seanluke,50.78
0xa6e5411a621a00d5195bb55d736505f4a5e7c289,asefazi,103.47
0x9bd6f4c300cb06e290a9eb423086f00f88aedb49,kadean,17.50
0x7dc30156dce3c6e909a9f5e5fd56aec936361209,afrochicks,222.20
0xabb473bcc5f6cdb27208371e153e4288b4d3dba1,ciberdelia,48.76
0x05cee3a59e550b7b79991d0eb17344b2f8b52160,arob1000,244.53
0xfe28d181a908f038f06151631ad854d24ec86bf6,crystalspaceshp,3.35
0xbcd980d37293cbee62bf5f93a26a0b744c18964d,kinwiz,291.80
0x0998fc77b101e4c538f57bc7616c5ecd77deab5a,aaronv.eth,76.41
0x7a8b19729482469fe896d13ea96ad54e22f5b4c7,petersonk,119.56
0x37eb75db0681e97f92cbd61a53eb38b7e85bd9a6,verafaye,123.08
0xeaf55242a90bb3289db8184772b0b98562053559,betashop.eth,60.41
0xb587cf35e6366fed40f1afff6f88ad2f7fa6d22c,emptysoulprime,35.14
0x317970b030bd686f855ac72b4d96ec6bc0116a3a,mazin,252.53
0xc3474b09b3bd2ac812cadfa830199823166c3760,zahraarte,17.17
0xf1e7dbedd9e06447e2f99b1310c09287b734addc,jacek,553.17
0x85192e459d3fbb60780cebdc905698d9fcc0575e,luke0x1,3.35
0x3d4b58964ed615a2622e7e0eb66013b395718c98,manytle.eth,109.28
0xddf0eb653732a2e614ea29b2ec2ed3ecf96223c2,silkywayart.eth,73.78
0x4f8c025be99baa97dabaf59cd7aa64b8bed5ebeb,sinusoidalsnail,20.11
0xf6f273bd86ec7e28bd2a2cf84415214479fea004,evelynyap17,163.39
0x66e6d8910f52e9e634bf4522288a2b3586b72066,elinapai,116.68
0xd6d8e393824aac8ecaf4e1f689717bc001064abc,ikertje,94.71
0x99bd730362bf96288e47ae5736b52b48adc3a081,samhorine,107.17
0xbcfbd4e6d624452b0fdd39b37fb0dc42a35bcef1,asha,105.02
0x0b5fa155785fcb3ded40e6e138bededc9df1cfe9,minaabbasi,50.78
0xddf9aedc737d396f6463c6af8460cfc87c246a8b,niloofarmd,234.94
0xd99c74b587373c77c7c9ad05f613baf3fe871434,barbarabezina,478.13
0xe703a7fe92c62ddd1934920d0fb18963c7660b13,torii-stories,299.08
0x36bd6221c2016371c3af00071726578b91acb007,fabianospeziari,73.93
0x13c39b3e6e6159bc233fad90825f1f9f84fcb102,ricardotakamura,54.24
0x47cd9ff80446fdebc4f9b697ea5858cde5ae01f6,bitsizzle,195.95
0xbbd8059388486e5b3188d50e1ec54eaafeae9d79,fraulaubakh,219.27
0xc9eae131858bb939e5117b283dc2ca70b0589fc0,joellelb,386.98
0x31930dc73753df11424a1ba49b4d836c14bda4d0,tkzs,232.06
0x91137bf8d5e95ce028235f38dbd7274a50d0f258,tinyrainboot,427.59
0x6fb53031e2b3d7d4d6f7fad6d69952f87477bc82,arrotu,349.60
0xe6edd8a268f1d339a558c83c7a94051a9ab1863a,pedronosandrine,599.56
0xbad8ca0d3ef9e2b9d2a3149b707a879ebea2a0bd,zosphotos,98.62
0x6ca8721a2e4a1570b13e0ff150e16fc507f2f8ac,hadi1370,43.92
0x8f791f061d7f36dc07de081ad88f87d71be1585e,flexasaurusrex,110.13
0x97c77079530a75a0d85607c6dbe637e0b042929a,amosnena,613.53
0xcb69c793478a7355178979ae0be453bf61c378ee,maretus.eth,13.41
0x10cfbfe6e2fdf2e7adef48e35a5c325a50782abf,sofi888,803.92
0x5326888ade036224e878745e7e062057b80a9d12,jeroenv78,581.35
0x7960f1b90b257bff29d5164d16bca4c8030b7f6d,compez.eth,430.07
0xb46adfe7e10675b1e43f9132da7f00a9ad3642f3,erik-bulckens,96.03
0x6da0a1784de1abdde1734ba37eca3d560bf044c0,mxjxn.eth,23.55
0xc2547446c439be477dce96702fb1f9dfb61bab3a,paulmoon.eth,55.18
0x497d144ea3e40c5732dd397a08c44e7ca141d815,lovejoy,58.33
